cat_id,count
0,44
1,91
2,7681
3,1420
4,5
5,176
6,2
7,581
8,4553
9,26
10,1021
11,82
12,1174
13,2
14,31
15,213
16,658
17,44
18,1923
19,283
20,4257
21,323
22,27
23,387
24,170
25,16387
26,7769
27,1740
28,44
29,9510
30,8323
31,119
32,588
33,70
34,62
35,3
36,11649
37,768
38,6498
39,26
40,90
41,116
42,273
43,3790
44,390
45,2178
46,40
47,327
48,46
49,1303
50,349
51,1
52,7
53,220
54,68
55,38
56,1326
57,4149
58,1238
59,1376
60,239
61,1945
62,117
63,2682
64,44
65,4024
66,24
67,1197
68,227
69,80
70,825
71,148
72,45
73,126
74,1704
75,820
76,51
77,94
78,35
79,954
80,1264
81,59
82,79
83,711
84,109
85,19
86,464
87,1367
88,8
89,423
90,231
91,2490
92,219
93,5899
94,2948
95,230
96,497
97,124
98,334
99,2350
100,20
101,121
102,383
103,117
104,19
105,7345
106,1538
107,1557
108,355
109,1195
110,275
111,2350
112,39758
113,4010
114,571
115,433
116,6204
117,1909
118,59
119,564
120,1876
121,657
122,842
123,751
124,32
125,787
126,289
127,3048
128,859
129,3128
130,979
131,296
132,589
133,18
134,203
135,126
136,62
137,2367
138,416
139,355
140,1879
141,2446
142,854
143,191
144,14
145,234
146,558
147,18
148,497
149,1143
150,1753
151,26
152,263
153,5659
154,403
155,274
156,3920
157,467
158,357
159,2180
160,64
161,258
162,62
163,93
164,193
165,834
166,73
167,128
168,6658
169,829
170,599
171,2547
172,7939
173,1
174,1702
175,10
176,41
177,11751
178,735
179,2813
180,792
181,130
182,524
183,8691
184,3372
185,9
186,52
187,1688
188,139
189,973
190,216
191,144
192,1500
193,29
194,3033
195,337
196,4193
197,1424
198,911
199,461
200,21
201,624
202,1072
203,1647
204,51
205,620
206,2984
207,18
208,16
209,57
210,601
211,121
212,15
213,955
214,510
215,136
216,1
217,358
218,56
219,83
220,120
221,30
222,1204
223,77
224,111
225,28
226,290
227,37
228,1578
229,775
230,391
231,510
232,2147
233,1107
234,174
235,527
236,3204
237,667
238,1192
239,436
240,1614
241,94
242,958
243,66
244,704
245,5652
246,61
247,1930
248,2590
249,1253
250,244
251,4090
252,34
253,3297
254,542
255,99
256,75
257,8689
258,1528
259,22613
260,10449
261,3938
262,2893
263,650
264,3727
265,2908
266,1933
267,6245
268,254
269,1371
270,849
271,35
272,4881
273,43
274,865
275,733
276,70
277,26
278,3312
279,96
280,117
281,8
282,714
283,440
284,43
285,16
286,36
287,6528
288,132
289,4394
290,67
291,226
292,398
293,76
294,19
295,161
296,8296
297,6285
298,330
299,715
300,1638
301,585
302,4352
303,314
304,75
305,883
306,1867
307,8
308,211
309,9705
310,115
311,1622
312,2875
313,62
314,1025
315,378
316,460
317,445
318,2810
319,333
320,1181
321,48
322,322
323,5052
324,821
325,1170
326,96
327,107
328,1014
329,394
330,87
331,88
332,273
333,32
334,481
335,1490
336,598
337,359
338,118
339,3714
340,386
341,349
342,334
343,9348
344,6754
345,393
346,27
347,32
348,211
349,3585
350,84
351,12
352,485
353,1155
354,1438
355,70
356,477
357,1046
358,5772
359,285
360,1140
361,43
362,770
363,15
364,207
365,1250
366,401
367,6
368,77
369,1350
370,42
371,49
372,5103
373,81
374,4352
375,282
376,2717
377,394
378,359
379,16
380,911
381,23712
382,5057
383,665
384,125
385,8153
386,1084
387,2537
388,1769
389,910
390,683
391,4168
392,802
393,1264
394,6179
395,369
396,88
397,592
398,86
399,230
400,67
401,2029
402,7402
403,275
404,139
405,375
406,39
407,1717
408,997
409,443
410,13698
411,160
412,1495
413,776
414,203
415,363
416,369
417,97
418,235
419,904
420,2422
421,7136
422,2130
423,98
424,406
425,221
426,171
427,136
428,1541
429,88
430,40
431,2141
432,878
433,28
434,18
435,4821
436,268
437,98
438,20
439,1463
440,796
441,1326
442,13190
443,3568
444,425
445,271
446,256
447,279
448,3607
449,1769
450,101
451,308
452,657
453,2369
454,2630
455,34
456,139
457,59
458,31
459,441
460,3472
461,122
462,388
463,257
464,16
465,25
466,154
467,113
468,50
469,19
470,618
471,710
472,377
473,35
474,912
475,349
476,1565
477,258
478,235
479,72
480,4780
481,3250
482,8
483,178
484,210
485,6
486,102
487,522
488,972
489,2959
490,136
491,208
492,7900
493,49
494,10107
495,260
496,124
497,40
498,997
499,419
500,1
501,178
502,30
503,4
504,145
505,56
506,326
507,96
508,770
509,2285
510,2136
511,5180
512,1123
513,101
514,493
515,762
516,285
517,4339
518,17
519,1469
520,6
521,504
522,41
523,198
524,27
525,261
526,5735
527,1309
528,999
529,478
530,2505
531,2139
532,154
533,163
534,155
535,139
536,487
537,40
538,177
539,316
540,75
541,51765
542,706
